,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
6071,7732100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,83.5,43.0,14.1,2,14,1.0,1.0,Нет,Неизвестно,3.0,Панельный,2.65,2.0,На улицу и двор,7 мин. пешком,Люберцы,микрорайон Городок Б
17910,7859331,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,74.08,40.9,12.2,17,18,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,,1.0,,13 мин. на транспорте,Ленинский городской округ,д. Мисайлово
21412,9182100,", Возможна ипотека",Новостройка,72.3,,20.3,7,25,,,Нет,,2.0,Монолитный,,,,11 мин. пешком,НАО (Новомосковский),Московский поселение
11114,11073760,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.6,23.2,15.4,21,30,2.0,1.0,Нет,подземная,2.0,Монолитный,,0.0,Во двор,5 мин. пешком,ЮВАО,район Южнопортовый
3917,6196446,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,58.0,30.7,14.4,2,8,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,,17 мин. на транспорте,Химки,микрорайон Клязьма-Старбеево
26515,7176200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.0,20.3,19.0,9,17,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.66,2.0,На улицу,28 мин. на транспорте,ЗелАО,район Крюково
24471,10971886,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,90.41,46.9,14.9,4,15,1.0,0.0,Нет,Наземная,3.0,Монолитный,,1.0,,11 мин. на транспорте,Одинцово,улица Маршала Бирюзова
18054,8731180,"Свободная продажа, Возможна ипотека",Новостройка,84.4,53.8,11.1,11,25,1.0,1.0,Нет,подземная,3.0,Монолитный,2.8,,,13 мин. на транспорте,Одинцово,Сколковский ЖК
2427,10980030,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.3,32.1,15.6,19,23,2.0,1.0,Нет,подземная,2.0,Монолитный,3.11,1.0,,8 мин. пешком,ЮВАО,район Рязанский
28265,15920300,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.6,22.4,24.8,6,15,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,3 мин. пешком,ЮВАО,район Южнопортовый
29228,25268686,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.0,,,19,51,1.0,0.0,Нет,подземная,2.0,Монолитный,3.0,,,14 мин. пешком,ЗАО,район Раменки
19919,6606420,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,61.8,24.2,21.4,8,14,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,Во двор,7 мин. пешком,Люберцы,микрорайон Городок Б
25614,10370898,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,84.08,43.4,10.9,5,21,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,3.1,0.0,На улицу и двор,2 мин. на транспорте,СВАО,район Лосиноостровский
22342,20304000,"Свободная продажа, Возможна ипотека",Новостройка,77.9,,,26,31,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
3798,8947902,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.0,18.0,12.7,17,18,1.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,,3 мин. на транспорте,ЮАО,район Нагатинский затон
32459,6404600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.0,24.3,21.9,14,15,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.66,2.0,На улицу,6 мин. на транспорте,Балашиха,улица Реутовская
16835,10250000,", Возможна ипотека",Новостройка,47.3,30.7,8.0,6,18,1.0,,Нет,,2.0,Монолитный,,,Во двор,10 мин. на транспорте,ЗАО,район Можайский
15652,2681360,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,30.47,12.7,9.2,3,17,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,Во двор,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Саввино)
28013,14532540,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.1,38.9,11.1,21,48,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
13580,7119803,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,29.4,13.0,8.5,31,34,1.0,2.0,Нет,подземная,,Монолитный,,0.0,,10 мин. пешком,САО,район Войковский
20197,10472373,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.29,23.7,21.1,6,14,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.72,2.0,Во двор,2 мин. на транспорте,СВАО,район Марьина роща
20206,20738721,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,77.34,45.1,6.0,19,27,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,2 мин. на транспорте,ЮАО,район Даниловский
20820,5610800,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.4,37.5,12.8,5,25,1.0,2.0,Нет,Неизвестно,3.0,Панельный,2.65,2.0,На улицу и двор,7 мин. на транспорте,Ленинский городской округ,Боброво рп
479,15573420,"Свободная продажа, Возможна ипотека",Новостройка,64.62,52.6,,8,16,1.0,0.0,Нет,подземная,2.0,Монолитный,3.28,0.0,,2 мин. пешком,ЮАО,район Даниловский
35114,8074823,"Свободная продажа, Возможна ипотека",Новостройка,62.8,,,3,25,1.0,0.0,Нет,Наземная,2.0,Панельный,,,,9 мин. пешком,ЮВАО,район Некрасовка
18814,8213824,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.7,30.0,22.2,4,16,1.0,1.0,Нет,подземная,2.0,Монолитный,3.19,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
12311,9135872,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.9,40.5,15.2,3,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,26 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
19050,10916060,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.1,25.6,34.6,2,24,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,3.0,1.0,,2 мин. на транспорте,ВАО,район Метрогородок
35882,4028585,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.77,23.7,3.5,21,24,1.0,0.0,Нет,Наземная,2.0,Монолитный,,0.0,,23 мин. на транспорте,Одинцово,Западная улица
8842,13674600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,85.9,42.1,18.6,2,15,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.65,0.0,На улицу и двор,2 мин. на транспорте,СВАО,район Южное Медведково
32695,13700000,"Свободная продажа, Возможна ипотека",Новостройка,45.0,29.0,15.0,3,7,3.0,2.0,Нет,подземная,2.0,Кирпичный,,,На улицу и двор,9 мин. пешком,ЦАО,район Басманный
14339,19715515,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.4,,,6,52,1.0,1.0,Нет,подземная,2.0,Монолитный,,,На улицу и двор,14 мин. пешком,ЗАО,район Раменки
15609,22521807,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.91,52.7,16.2,4,17,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,2 мин. на транспорте,ЮАО,район Даниловский
14712,3600000,", Возможна ипотека",Новостройка,23.0,17.0,,9,15,0.0,0.0,Нет,,,Панельный,,0.0,,10 мин. на транспорте,Балашиха,улица Реутовская
13127,13755031,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,77.47,,,2,29,2.0,1.0,Нет,подземная,3.0,Монолитный,2.75,1.0,,13 мин. пешком,ЮВАО,район Нижегородский
